ORDER_MONTH,total_sales,orders
2003-01,129753.6,5
2003-02,140836.19,3
2003-03,174504.9,6
2003-04,201609.55,7
2003-05,192673.11,6
2003-06,168082.56,6
2003-07,187731.88,6
2003-08,197809.3,5
2003-09,263973.36,8
2003-10,568290.97,17
2003-11,1029837.66,28
2003-12,261876.46,7
2004-01,316577.42,8
2004-02,311419.53,10
2004-03,205733.73,7
2004-04,206148.12,10
2004-05,273438.39,8
2004-06,286674.22,10
2004-07,327144.09,10
2004-08,461501.27,12
2004-09,320750.91,12
2004-10,552924.25,13
2004-11,1089048.01,33
2004-12,372802.66,11
2005-01,339543.42,12
2005-02,358186.18,12
2005-03,374262.76,12
2005-04,261633.29,9
2005-05,457861.06,14
