,ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
count,2823.0,2823.0,2823.0,2823.0,2823.0,0,0,2823.0,2823.0,2823.0,0,2823.0,0,0,0,0,0,0,0,0,0,0,0,0,0
unique,,,,,,0,0,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
top,,,,,,,,,,,,,,,,,,,,,,,,,
freq,,,,,,,,,,,,,,,,,,,,,,,,,
mean,10258.725115125753,35.0605738575983,83.65854410201914,6.466170740347148,3519.2468384697127,,,2.7176762309599716,7.0924548352816155,2003.8150903294368,,100.65603967410556,,,,,,,,,,,,,
std,92.08547759571944,9.605998632852042,20.17427652784056,4.225840964690944,1731.6766814139314,,,1.203878088001756,3.656633307661769,0.6996701541300996,,40.02416445206953,,,,,,,,,,,,,
min,10100.0,6.0,26.88,1.0,482.13,,,1.0,1.0,2003.0,,33.0,,,,,,,,,,,,,
25%,10180.0,27.0,68.86,3.0,2203.4300000000003,,,2.0,4.0,2003.0,,68.0,,,,,,,,,,,,,
50%,10262.0,35.0,95.7,6.0,3184.8,,,3.0,8.0,2004.0,,99.0,,,,,,,,,,,,,
75%,10333.5,43.0,100.0,9.0,4508.0,,,4.0,11.0,2004.0,,124.0,,,,,,,,,,,,,
max,10425.0,67.0,100.0,18.0,7964.855,,,4.0,12.0,2005.0,,208.0,,,,,,,,,,,,,
